origin,delayed
UIN,0.0
COD,0.0
CDC,0.037037037037037035
JMS,0.0410958904109589
LWS,0.046875
CPR,0.047619047619047616
ABY,0.05952380952380952
DVL,0.06
SPN,0.06818181818181818
BTM,0.06896551724137931
DRT,0.07017543859649122
ITO,0.07102803738317758
PIH,0.07526881720430108
LBF,0.07547169811320754
GTF,0.0759493670886076
BQK,0.08139534883720931
OME,0.08333333333333333
LCH,0.08552631578947369
PIR,0.08928571428571429
DAB,0.09271523178807947
GUM,0.09333333333333334
BRO,0.09392265193370165
HLN,0.09433962264150944
TWF,0.09774436090225563
HRL,0.0995260663507109
ECP,0.09957627118644068
OTZ,0.1
CLL,0.10256410256410256
ERI,0.10344827586206896
PUB,0.10526315789473684
LGB,0.1072961373390558
GCC,0.1076923076923077
LRD,0.10837438423645321
OWB,0.1111111111111111
ACY,0.11188811188811189
RNO,0.11286407766990292
LAR,0.11320754716981132
LIH,0.11343523732904263
BIL,0.11363636363636363
SGU,0.11377245508982035
SJC,0.11490125673249552
HVN,0.11538461538461539
ISP,0.11788617886178862
BUR,0.11812476928755998
ABQ,0.1189041095890411
LWB,0.12121212121212122
FLG,0.12209302325581395
COS,0.12274368231046931
MSO,0.12393162393162394
EAR,0.125
ELM,0.125
PIB,0.125
PAH,0.125
TUL,0.12607003891050583
SMF,0.12621809744779583
MAF,0.1265984654731458
ATY,0.12727272727272726
SHD,0.12941176470588237
HNL,0.1294477188386815
SAN,0.13051122531782527
AUS,0.13121234939759036
PIT,0.13155339805825242
OKC,0.13219616204690832
CSG,0.13253012048192772
ELP,0.1331845238095238
ATL,0.13383712215838123
RAP,0.13479623824451412
CMH,0.13551528266161753
BDL,0.13562307353588726
STS,0.1368421052631579
JAX,0.1369098712446352
EKO,0.13793103448275862
CLE,0.1384180790960452
MRY,0.1390532544378698
GJT,0.14012738853503184
IND,0.14051282051282052
SAT,0.14084946908182386
MFE,0.14093959731543623
FAT,0.14111675126903553
MLB,0.1412639405204461
CVG,0.14184397163120568
BNA,0.14222493514420875
MHT,0.14235500878734622
SDF,0.14368117461982172
OAK,0.14387956564659427
PIE,0.14412811387900357
KOA,0.14444444444444443
CRP,0.14512922465208747
BRW,0.14516129032258066
SNA,0.14518109269490484
PDX,0.14530090684253916
FAI,0.14565826330532214
LFT,0.14578005115089515
TPA,0.14578384798099764
PVD,0.14623655913978495
CHA,0.14626391096979333
TUS,0.1466346153846154
BOS,0.14715359828141783
FCA,0.14885496183206107
LBB,0.14942528735632185
OAJ,0.14979757085020243
BUF,0.14980435997764113
BOI,0.15072639225181597
LAS,0.1507773124157024
PHX,0.15094463827266144
BLI,0.15151515151515152
CHS,0.15181711606096132
RDU,0.1519744714798564
MFR,0.15211267605633802
ONT,0.1524390243902439
MDT,0.15254237288135594
DTW,0.15297623595934898
SLC,0.15336093041592747
INL,0.15384615384615385
BRD,0.15384615384615385
BFM,0.15384615384615385
VPS,0.15399239543726237
SAV,0.15453074433656958
RKS,0.15517241379310345
LBE,0.15584415584415584
JFK,0.15600350569675722
