op_unique_carrier,delayed
HA,0.11603706343549537
9E,0.1348290132868656
DL,0.13616004403963566
YX,0.14146950669534447
WN,0.14154008987261857
UA,0.16124867240050814
NK,0.16950325967807073
EV,0.17521202775636083
F9,0.18307342430149448
B6,0.18394866171154706
AA,0.1845320118719525
OO,0.18609804175479489
YV,0.19916442511303153
MQ,0.22425249169435216
G4,0.22576014615685763
OH,0.24359348306179424
AS,0.25463118895250925
